patient_id,full_name,birth_date,gender,ssn,diagnosis_code,treatment_start,email,country,insurance_number,chronic_condition,notes,last_visit_lat,last_visit_long,referred_by,blood_type,phone
3eb13b90-4668-4257-bdd6-40fb06671ad1,Noah Rhodes,2011/05/12,M,559-12-9675,J45.9,27-07-2023,johnsonjeffery@hotmail.com,,TARG86379402654235,No,Here grow gas enough. Role movie win.,-84.27912,-146.26971,Maria Lynch,Unknown,000-0000
7656af72-29d4-4eef-beab-edcbbaa80dd4,William Bowman,1947/08/17,,571-29-5314,???,19-06-2024,lydiatrujillo@adams-clark.org,US,WKGU76724238849696,Y,Young catch management sense technology. Physical society instead as. Other life edge network wall quite.,-28.75491,-124.02738,Katie Gonzalez,B+,000-0000
c754108f-f418-4f3f-8a14-be62295b4715,Tamara George,1975/03/23,O,501-03-1833,F32.1,14-12-2024,john39@gmail.com,DE,CXPC82278248963834,,,-37.22791,46.31033,Michael Brooks,B+,713.315.0983x93010
5496f63c-dc11-40c1-880a-adfbe7c99b26,David Caldwell,1955/06/29,M,220-70-2168,F32.1,23-06-2023,kristenaguirre@gmail.com,123,DDVN56670106513338,1,Instead everything economic type. Space task better present music address. Unit support coach magazine.,60.13988,-121.44453,Edward Novak,,001-805-009-7882
118a9d29-2f92-4996-99f1-95d014822f53,Megan Young,1932/01/28,M,123-73-4034,I10,30-05-2024,barnesbrandy@stewart.com,BR,HIME47510799118384,N,Thing these hard citizen street region. Worker southern more property never use billion there.,61.71335,99.35997,Sarah Davis,A+,(400)524-2786x80112
8d7248e2-951f-48d0-9e84-f058d5a804eb,Cameron Parker,1998/08/03,M,816-06-5863,Z00.0,29-05-2023,elizabethgomez@henson.com,,HFZZ26025634216073,1,,44.09802,14.03182,Thomas Bailey,AB+,303.654.1458
54c63cd8-8945-4f27-97fa-2d8dfb2ca025,Ashley Waller,1978/09/24,F,183-75-4350,I10,10-10-2024,carlsonmichael@graham-joyce.com,US,MSGI06088356159514,Y,Project for recent never court. Quality total past feeling nature a. Decision size parent focus kid.,52.57429,-28.02241,,AB+,3791769367
016b6287-b008-45cc-a7f3-6ae925c73c44,Shannon Mcclure,1978/09/22,O,798-55-3586,E11.9,07-11-2023,pwilliams@bryant.net,DE,RTKY79868727743487,0,,-11.74225,-16.65947,Denise Jones,,345-581-2236x2316
0ff0a55c-6a70-4e2f-b746-d0ba8ae8905b,Jason Stein,1979/10/22,F,599-90-0321,C34.1,14-01-2024,wsmith@yahoo.com,,YMNR89373467065627,N,,47.25194,14.17645,Veronica Ferguson,Unknown,(990)162-7204x6537
473bd358-610e-4a64-a130-1617c2dff335,Sandra King,1968/10/25,Unknown,XXX-XX-XXXX,Z00.0,19-01-2024,ismith@cooke.com,FR,UCYU00330923271937,N,Cold parent security boy standard who. Official up office traditional.,80.4509,-149.16476,Jeffrey Cox PhD,A+,262.849.8776x945
e1b294de-4767-476c-962f-8a24ef43613c,Paul Hudson,1957/09/29,F,685-49-5512,???,05-02-2025,lrosales@lewis-salinas.com,DE,ITWI80831367837770,,Develop reality fill ok list. Gas you nearly goal law fill discover.,77.20443,91.89547,Denise Mccann,,+1-427-109-4777
f0e98b3b-40a2-4c60-8d27-0659f72ada9b,Ashley Jones,1970/09/14,O,504-10-9454,CXX.99,22-09-2023,edwardhart@miller-wright.net,US,YNTT93867749649909,N,Personal enough ball dream necessary. Able late order fact.,-88.70565,74.82274,,A+,2499471746
1497d658-7010-4719-be69-5d0d8a3c3b5e,Stacy Navarro,1961/05/21,M,619-33-0424,F32.1,24-05-2024,suzannehuff@matthews.com,CA,SBYY27874296717565,maybe,,-4.86487,-33.45841,,,125-674-6807x15451
004b6fab-fcf5-4188-932e-6dcd83bc9478,Kimberly Gutierrez,1979/05/05,Unknown,193-67-5928,E11.9,03-03-2025,nwolf@yahoo.com,US,,0,Until just recognize building. Participant dream citizen nearly need behavior yeah tree. Water positive child usually factor relate indeed.,-70.33157,-111.02757,Mrs. Brittany Ryan MD,O-,+1-867-533-9636
e9d68f23-b489-4070-b914-f8a8bea4ff31,Jasmin Alvarado,1930/04/10,F,841-84-2493,C34.1,04-01-2024,martineztammy@yahoo.com,DE,,Yes,Between treat address century that wide. Light wide full realize.,76.74606,125.53046,,AB+,172-400-5045
697c3923-87fa-441a-be83-b91f25440fe0,Rebecca Jackson,1975/05/08,M,081-79-6268,E11.9,31-03-2024,jdurham@murray.info,123,IVAZ74821759464743,1,Blood high grow fast recognize against stop. Ever not rate seat any paper. Strategy total simply discover soon despite couple.,82.31718,178.35217,Richard Walter,,(884)247-4517x123
f79efd70-65bc-4272-badd-7ea3aca5e2fd,Kristin Davis,2016/05/19,F,405-02-4333,CXX.99,14-11-2024,vrichardson@baker.com,US,DVHP09859317461200,Y,,1.40913,126.48332,,A+,711-382-6758x6926
687a4850-9d9b-4231-bd45-d8efd56ce8ea,Diana Vaughn,2013/06/20,M,223-57-7286,J45.9,17-07-2023,gmail.com,US,LDVL85064317139005,0,Skin day stop never. Democratic thank forget challenge too able teach certain.,-53.23334,77.82905,Ivan Wheeler,AB+,000-0000
0b19f88e-9d77-445e-b206-c26938b77c07,Susan Hopkins,1985/11/07,Unknown,309-59-0511,C34.1,unknown,bboone@rodriguez.com,DE,KTEC24998569847896,No,"Table prepare shoulder result. Involve thousand including still human.
Interview professor hear check type attack. Behavior benefit school speech.",1.05924,-132.31563,Ryan Richardson,A+,001-493-689-9809x40244
24ac2130-deaf-428d-ae70-983801902620,Jennifer Thomas,1970/08/01,F,649-04-1504,CXX.99,29-01-2024,vbarnes@wood.com,123,YSTC02290147679764,Yes,Box involve exist question main project animal. Worker area daughter war should share.,9.82841,155.43217,,O-,969-664-1605x29751
96c044d0-6f88-4f28-be49-fd091b19d8b8,Blake Harrell,1983/10/09,,764-44-3631,F32.1,15-02-2025,charlesschultz@hotmail.com,CA,QGYL52312432921277,1,Large under north play person ten physical character. Light place someone option. Medical financial later arm story baby.,-44.79817,146.93726,,,182-037-7889x25546
0d67d38e-990f-4c5b-adcc-3daf569f3ab3,Maria Jones,1979/12/20,M,097-72-6334,I10,23-12-2024,jennifer92@yahoo.com,,CSVE54629148652816,,Adult final week game she court. Choice fast small medical. Strong this also from short capital heavy.,-69.8627,160.21834,Cynthia Allen,O-,359.774.6886x2392
5f07c1a5-dfc6-40ce-bb07-fd31a4244f23,Ashley Singleton,1958/05/11,,872-16-4671,,11-06-2023,joshuawhitehead@guerra.com,123,OLAN06853615305152,Yes,"Expert stop receive. Serve light past town.
Democratic change vote participant institution.",-52.18622,-90.16929,,Unknown,001-324-609-5396
f982f4e0-8603-456a-95ea-cbcfab1021ce,Troy Stephens,1949/10/29,,806-65-9080,J45.9,29-09-2024,cmarks@hughes.com,123,ZCLH19520585277221,,,42.5816,-60.41323,Terri Johnson,,030.548.6874
5b62a8df-493e-404d-b0ec-2796a59b457f,Amber Rios,1929/04/26,O,280-16-6030,C34.1,07-12-2024,yahoo.com,BR,MXOM52775841616928,maybe,"Bill foreign fast knowledge response coach. Goal amount thank good your ever.
Provide image message seek. Well central parent sit.",57.69655,133.67629,Lisa Shelton,,000-0000
92ec89af-13ae-4376-8359-810a71a6014c,Jacob Edwards,1974/10/27,M,286-32-1859,F32.1,14-02-2024,victorhughes@wilson.com,,TJWP31217271551884,0,Republican until point soldier. Difference world society door management guess occur.,-69.23848,169.34422,,B+,000-0000
1fc905f8-d4d6-4735-8e2f-8958de431e06,Elizabeth Martin,1992/10/09,O,727-29-5670,Z00.0,08-04-2025,kingcynthia@hotmail.com,US,IEUJ98182992299590,N,,37.58135,-179.39114,Alyssa Williams,Unknown,+1-943-969-0784x4736
2877f5d9-0f56-45f8-b048-faa112ae5c22,John Harris,1964/10/24,F,622-19-5122,C34.1,18-04-2024,theresa25@hotmail.com,DE,RDKH71473210469632,No,"Return couple city you level these market. War measure whom Democrat. Any example our successful pull experience.
Issue think road shake.",-35.94199,-68.65752,Nicole Gonzalez,AB+,680.002.5787x29825
9dd2f9de-fd98-4e33-a498-abe92999bbef,Elizabeth Rogers,2007/10/09,F,849-66-8722,,04-01-2024,thomas05@yahoo.com,DE,VDNS40974993097289,,Start drug occur red. Affect finish charge real improve. Turn their save artist catch debate foot production.,-89.92693,-76.71106,Taylor Griffith,Unknown,198-665-2404x1574
4568f426-89e0-4e22-93f4-a49b33baba88,Melissa Taylor,1989/07/15,Unknown,631-95-9615,J45.9,15-10-2023,brentstein@little.com,123,NKWP12082677345401,No,,29.49369,42.93389,,O-,+1-938-026-2067x2400
fba57cc8-edaf-4766-9b78-0ede9a4ffc0c,Jesse Davidson,1964/12/11,F,537-64-2199,E11.9,16-07-2024,james15@gmail.com,123,XOUI20549329668516,maybe,Word local very according. Dog send west few reveal activity.,23.35777,-110.00331,Susan Todd,AB+,+1-339-187-8519x10883
dabf984e-53ff-4461-aa1f-1b61265cb9d9,Audrey Harris,2002/04/12,M,598-63-1490,C34.1,21-06-2024,chavezwilliam@yahoo.com,123,SBRO40640391065180,maybe,,-45.14431,125.40109,Andrea Peck,AB+,4622656766
8a0f9508-dfe2-40a0-a96b-3c42f6d22a7b,Scott Wilson,1935/04/04,,551-51-8665,???,13-10-2024,maryavila@ford-ball.biz,DE,RMHH75243106903311,maybe,Land public the. Scientist I doctor describe tell. Cell year doctor trouble. Five our pull fly few century produce.,43.85798,-9.1172,Jennifer Evans,O-,(873)342-7086
3e2bf9c9-636f-4e5c-a253-e70687ad8b26,Gary Miller,1981/01/07,,461-48-1515,J45.9,07-07-2024,adamsemily@williams.org,FR,XVRG73540331739363,0,Simply herself move grow end mention. Letter sort reveal seven floor data fine. None determine certainly.,7.2274,-130.18534,Nicholas Bell,,000-0000
